    LRGN[Rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -5,            1,      1.94957,      -5.11276,      -42.8283,         -0.695757,         0.0383227,     -5.80852,       -42.79,    -0.729367,     -5.37308
                1,            1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

